model,feature,rouge_l,token_f1,alignment,quality_status
llama3.1:8b,USSD,0.08979591836734695,0.15384615384615385,5,FAIL
llama3.1:8b,USSD,0.03827751196172249,0.0599250936329588,5,FAIL
llama3.1:8b,USSD,0.0641711229946524,0.08955223880597016,2,FAIL
llama3.1:8b,USSD,0.04774535809018567,0.08108108108108109,5,FAIL
llama3.1:8b,USSD,0.13924050632911392,0.19469026548672566,5,FAIL
llama3.1:8b,Mobile App,0.06730769230769229,0.07042253521126761,5,FAIL
llama3.1:8b,Mobile App,0.04651162790697674,0.04301075268817204,5,FAIL
llama3.1:8b,Mobile App,0.034912718204488775,0.056603773584905655,5,FAIL
llama3.1:8b,Mobile App,0.05555555555555555,0.08633093525179858,5,FAIL
llama3.1:8b,Mobile App,0.04129793510324484,0.04145077720207254,5,FAIL
llama3.1:8b,Web Portal,0.043209876543209874,0.05405405405405405,5,FAIL
llama3.1:8b,Web Portal,0.03305785123966942,0.059113300492610835,5,FAIL
llama3.1:8b,Web Portal,0.05763688760806917,0.08411214953271028,5,FAIL
llama3.1:8b,Web Portal,0.026041666666666664,0.043478260869565216,3,FAIL
llama3.1:8b,Web Portal,0.03322259136212625,0.04419889502762431,5,FAIL
mistral,USSD,0.07228915662650602,0.11864406779661016,4,FAIL
mistral,USSD,0.04938271604938271,0.059880239520958084,5,FAIL
mistral,USSD,0.14634146341463417,0.16216216216216214,4,FAIL
mistral,USSD,0.059925093632958795,0.07317073170731708,5,FAIL
mistral,USSD,0.1509433962264151,0.1797752808988764,5,FAIL
mistral,Mobile App,0.04958677685950414,0.08536585365853659,5,FAIL
mistral,Mobile App,0.05555555555555555,0.10169491525423728,5,FAIL
mistral,Mobile App,0.06956521739130435,0.08383233532934131,5,FAIL
mistral,Mobile App,0.08888888888888889,0.12987012987012989,5,FAIL
mistral,Mobile App,0.06629834254143648,0.09917355371900827,5,FAIL
mistral,Web Portal,0.03910614525139665,0.04060913705583757,5,FAIL
mistral,Web Portal,0.0606060606060606,0.11904761904761905,5,FAIL
mistral,Web Portal,0.052023121387283246,0.08071748878923767,5,FAIL
mistral,Web Portal,0.031446540880503145,0.03827751196172249,2,FAIL
mistral,Web Portal,0.022813688212927757,0.03571428571428572,5,FAIL
